15:25:16 --- PID 0; epoch 0, batch 0
15:25:38 --- PID 0; epoch 0, batch 1
15:25:58 --- PID 0; epoch 0, batch 2
15:26:17 --- PID 0; epoch 0, batch 3
15:26:37 --- PID 0; epoch 0, batch 4
15:26:56 --- PID 0; epoch 0, batch 5
15:27:16 --- PID 0; epoch 0, batch 6
15:27:36 --- PID 0; epoch 0, batch 7
15:27:55 --- PID 0; epoch 0, batch 8
15:28:15 --- PID 0; epoch 0, batch 9
15:28:36 --- PID 0; epoch 1, batch 0
15:28:53 --- PID 0; epoch 1, batch 1
15:29:09 --- PID 0; epoch 1, batch 2
15:29:25 --- PID 0; epoch 1, batch 3
15:29:42 --- PID 0; epoch 1, batch 4
15:29:58 --- PID 0; epoch 1, batch 5
15:30:14 --- PID 0; epoch 1, batch 6
15:30:31 --- PID 0; epoch 1, batch 7
15:30:47 --- PID 0; epoch 1, batch 8
15:31:03 --- PID 0; epoch 1, batch 9
15:31:22 --- PID 0; epoch 2, batch 0
15:31:39 --- PID 0; epoch 2, batch 1
15:31:55 --- PID 0; epoch 2, batch 2
15:32:11 --- PID 0; epoch 2, batch 3
15:32:28 --- PID 0; epoch 2, batch 4
15:32:44 --- PID 0; epoch 2, batch 5
15:33:00 --- PID 0; epoch 2, batch 6
15:33:16 --- PID 0; epoch 2, batch 7
15:33:33 --- PID 0; epoch 2, batch 8
15:33:49 --- PID 0; epoch 2, batch 9
15:34:08 --- PID 0; epoch 3, batch 0
15:34:25 --- PID 0; epoch 3, batch 1
15:34:41 --- PID 0; epoch 3, batch 2
15:34:57 --- PID 0; epoch 3, batch 3
15:35:14 --- PID 0; epoch 3, batch 4
15:35:30 --- PID 0; epoch 3, batch 5
15:35:46 --- PID 0; epoch 3, batch 6
15:36:03 --- PID 0; epoch 3, batch 7
15:36:19 --- PID 0; epoch 3, batch 8
15:36:35 --- PID 0; epoch 3, batch 9
15:36:54 --- PID 0; epoch 4, batch 0
15:37:10 --- PID 0; epoch 4, batch 1
15:37:27 --- PID 0; epoch 4, batch 2
15:37:43 --- PID 0; epoch 4, batch 3
15:37:59 --- PID 0; epoch 4, batch 4
15:38:15 --- PID 0; epoch 4, batch 5
15:38:32 --- PID 0; epoch 4, batch 6
15:38:48 --- PID 0; epoch 4, batch 7
15:39:04 --- PID 0; epoch 4, batch 8
15:39:21 --- PID 0; epoch 4, batch 9
15:39:40 --- PID 0; epoch 5, batch 0
15:39:56 --- PID 0; epoch 5, batch 1
15:40:13 --- PID 0; epoch 5, batch 2
15:40:29 --- PID 0; epoch 5, batch 3
15:40:45 --- PID 0; epoch 5, batch 4
15:41:01 --- PID 0; epoch 5, batch 5
15:41:18 --- PID 0; epoch 5, batch 6
15:41:34 --- PID 0; epoch 5, batch 7
15:41:50 --- PID 0; epoch 5, batch 8
15:42:06 --- PID 0; epoch 5, batch 9
15:42:26 --- PID 0; epoch 6, batch 0
15:42:42 --- PID 0; epoch 6, batch 1
15:42:58 --- PID 0; epoch 6, batch 2
15:43:15 --- PID 0; epoch 6, batch 3
15:43:31 --- PID 0; epoch 6, batch 4
15:43:47 --- PID 0; epoch 6, batch 5
15:44:03 --- PID 0; epoch 6, batch 6
15:44:20 --- PID 0; epoch 6, batch 7
15:44:36 --- PID 0; epoch 6, batch 8
15:44:52 --- PID 0; epoch 6, batch 9
15:45:10 --- PID 0; epoch 7, batch 0
15:45:27 --- PID 0; epoch 7, batch 1
15:45:43 --- PID 0; epoch 7, batch 2
15:45:59 --- PID 0; epoch 7, batch 3
15:46:16 --- PID 0; epoch 7, batch 4
15:46:32 --- PID 0; epoch 7, batch 5
15:46:48 --- PID 0; epoch 7, batch 6
15:47:05 --- PID 0; epoch 7, batch 7
15:47:21 --- PID 0; epoch 7, batch 8
15:47:37 --- PID 0; epoch 7, batch 9
15:47:55 --- PID 0; epoch 8, batch 0
15:48:12 --- PID 0; epoch 8, batch 1
15:48:28 --- PID 0; epoch 8, batch 2
15:48:44 --- PID 0; epoch 8, batch 3
15:49:00 --- PID 0; epoch 8, batch 4
15:49:17 --- PID 0; epoch 8, batch 5
15:49:33 --- PID 0; epoch 8, batch 6
15:49:49 --- PID 0; epoch 8, batch 7
15:50:05 --- PID 0; epoch 8, batch 8
15:50:21 --- PID 0; epoch 8, batch 9
15:50:41 --- PID 0; epoch 9, batch 0
15:50:57 --- PID 0; epoch 9, batch 1
15:51:13 --- PID 0; epoch 9, batch 2
15:51:29 --- PID 0; epoch 9, batch 3
15:51:46 --- PID 0; epoch 9, batch 4
15:52:02 --- PID 0; epoch 9, batch 5
15:52:18 --- PID 0; epoch 9, batch 6
15:52:34 --- PID 0; epoch 9, batch 7
15:52:51 --- PID 0; epoch 9, batch 8
15:53:07 --- PID 0; epoch 9, batch 9
15:53:26 --- PID 0; epoch 10, batch 0
15:53:42 --- PID 0; epoch 10, batch 1
15:53:58 --- PID 0; epoch 10, batch 2
15:54:15 --- PID 0; epoch 10, batch 3
15:54:31 --- PID 0; epoch 10, batch 4
15:54:47 --- PID 0; epoch 10, batch 5
15:55:03 --- PID 0; epoch 10, batch 6
15:55:20 --- PID 0; epoch 10, batch 7
15:55:36 --- PID 0; epoch 10, batch 8
15:55:52 --- PID 0; epoch 10, batch 9
15:56:11 --- PID 0; epoch 11, batch 0
15:56:27 --- PID 0; epoch 11, batch 1
15:56:44 --- PID 0; epoch 11, batch 2
15:57:00 --- PID 0; epoch 11, batch 3
15:57:16 --- PID 0; epoch 11, batch 4
15:57:32 --- PID 0; epoch 11, batch 5
