./run_distributed.sh 
(base) austin:~/CS535/TP$ master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
Started process 3
Started process 2
Started process 0
Started process 1
11:12:41 --- PID 0; epoch 0, batch 0
11:12:41 --- PID 2; epoch 0, batch 0
11:12:41 --- PID 1; epoch 0, batch 0
11:12:41 --- PID 3; epoch 0, batch 0
11:12:59 --- PID 0; epoch 0, batch 1
11:12:59 --- PID 3; epoch 0, batch 1
11:12:59 --- PID 2; epoch 0, batch 1
11:12:59 --- PID 1; epoch 0, batch 1
[K(base) austin:~/CS535/TP$ 11:13:16 --- PID 1; epoch 0, batch 2
11:13:16 --- PID 0; epoch 0, batch 2
11:13:16 --- PID 2; epoch 0, batch 2
11:13:16 --- PID 3; epoch 0, batch 2
11:13:38 --- PID 0; epoch 0, batch 3
11:13:38 --- PID 3; epoch 0, batch 3
11:13:38 --- PID 2; epoch 0, batch 3
11:13:38 --- PID 1; epoch 0, batch 3
11:14:03 --- PID 0; epoch 0, batch 4
11:14:03 --- PID 3; epoch 0, batch 4
11:14:03 --- PID 2; epoch 0, batch 4
11:14:03 --- PID 1; epoch 0, batch 4
11:14:23 --- PID 0; epoch 0, batch 5
11:14:23 --- PID 3; epoch 0, batch 5
11:14:23 --- PID 2; epoch 0, batch 5
11:14:23 --- PID 1; epoch 0, batch 5
11:14:45 --- PID 0; epoch 0, batch 6
11:14:45 --- PID 3; epoch 0, batch 6
11:14:45 --- PID 2; epoch 0, batch 6
11:14:45 --- PID 1; epoch 0, batch 6
11:15:06 --- PID 0; epoch 0, batch 7
11:15:06 --- PID 2; epoch 0, batch 7
11:15:06 --- PID 3; epoch 0, batch 7
11:15:06 --- PID 1; epoch 0, batch 7
11:15:28 --- PID 0; epoch 0, batch 8
11:15:28 --- PID 3; epoch 0, batch 8
11:15:28 --- PID 2; epoch 0, batch 8
11:15:28 --- PID 1; epoch 0, batch 8
11:15:50 --- PID 0; epoch 0, batch 9
11:15:50 --- PID 3; epoch 0, batch 9
11:15:50 --- PID 2; epoch 0, batch 9
11:15:50 --- PID 1; epoch 0, batch 9
11:16:12 --- PID 2; epoch 1, batch 0
11:16:12 --- PID 1; epoch 1, batch 0
11:16:12 --- PID 3; epoch 1, batch 0
11:16:14 --- Epoch: 0	Train loss: 6.9086	Valid loss: 6.9088	Train accuracy: 0.02	Valid accuracy: 0.04
11:16:14 --- PID 0; epoch 1, batch 0
11:16:31 --- PID 0; epoch 1, batch 1
11:16:31 --- PID 3; epoch 1, batch 1
11:16:31 --- PID 2; epoch 1, batch 1
11:16:31 --- PID 1; epoch 1, batch 1
11:16:48 --- PID 0; epoch 1, batch 2
11:16:48 --- PID 3; epoch 1, batch 2
11:16:48 --- PID 2; epoch 1, batch 2
11:16:48 --- PID 1; epoch 1, batch 2
11:17:05 --- PID 0; epoch 1, batch 3
11:17:05 --- PID 3; epoch 1, batch 3
11:17:05 --- PID 2; epoch 1, batch 3
11:17:05 --- PID 1; epoch 1, batch 3
11:17:21 --- PID 0; epoch 1, batch 4
11:17:21 --- PID 3; epoch 1, batch 4
11:17:21 --- PID 2; epoch 1, batch 4
11:17:21 --- PID 1; epoch 1, batch 4
11:17:38 --- PID 0; epoch 1, batch 5
11:17:38 --- PID 3; epoch 1, batch 5
11:17:38 --- PID 2; epoch 1, batch 5
11:17:38 --- PID 1; epoch 1, batch 5
11:17:55 --- PID 0; epoch 1, batch 6
11:17:55 --- PID 2; epoch 1, batch 6
11:17:55 --- PID 3; epoch 1, batch 6
11:17:55 --- PID 1; epoch 1, batch 6
11:18:12 --- PID 0; epoch 1, batch 7
11:18:12 --- PID 3; epoch 1, batch 7
11:18:12 --- PID 2; epoch 1, batch 7
11:18:12 --- PID 1; epoch 1, batch 7
11:18:29 --- PID 0; epoch 1, batch 8
11:18:29 --- PID 3; epoch 1, batch 8
11:18:29 --- PID 2; epoch 1, batch 8
11:18:29 --- PID 1; epoch 1, batch 8
11:18:46 --- PID 0; epoch 1, batch 9
11:18:46 --- PID 3; epoch 1, batch 9
11:18:46 --- PID 2; epoch 1, batch 9
11:18:46 --- PID 1; epoch 1, batch 9
11:19:03 --- PID 3; epoch 2, batch 0
11:19:03 --- PID 2; epoch 2, batch 0
11:19:03 --- PID 1; epoch 2, batch 0
11:19:04 --- Epoch: 1	Train loss: 6.9086	Valid loss: 6.9088	Train accuracy: 0.02	Valid accuracy: 0.04
11:19:04 --- PID 0; epoch 2, batch 0
11:19:21 --- PID 0; epoch 2, batch 1
11:19:21 --- PID 3; epoch 2, batch 1
11:19:21 --- PID 2; epoch 2, batch 1
11:19:21 --- PID 1; epoch 2, batch 1
11:19:38 --- PID 0; epoch 2, batch 2
11:19:38 --- PID 2; epoch 2, batch 2
11:19:38 --- PID 3; epoch 2, batch 2
11:19:38 --- PID 1; epoch 2, batch 2
11:19:55 --- PID 0; epoch 2, batch 3
11:19:55 --- PID 3; epoch 2, batch 3
11:19:55 --- PID 2; epoch 2, batch 3
11:19:55 --- PID 1; epoch 2, batch 3
11:20:12 --- PID 0; epoch 2, batch 4
11:20:12 --- PID 3; epoch 2, batch 4
11:20:12 --- PID 2; epoch 2, batch 4
11:20:12 --- PID 1; epoch 2, batch 4
11:20:29 --- PID 0; epoch 2, batch 5
11:20:29 --- PID 3; epoch 2, batch 5
11:20:29 --- PID 2; epoch 2, batch 5
11:20:29 --- PID 1; epoch 2, batch 5
11:20:46 --- PID 0; epoch 2, batch 6
11:20:46 --- PID 3; epoch 2, batch 6
11:20:46 --- PID 2; epoch 2, batch 6
11:20:46 --- PID 1; epoch 2, batch 6
11:21:03 --- PID 0; epoch 2, batch 7
11:21:03 --- PID 3; epoch 2, batch 7
11:21:03 --- PID 2; epoch 2, batch 7
11:21:03 --- PID 1; epoch 2, batch 7
11:21:19 --- PID 0; epoch 2, batch 8
11:21:19 --- PID 3; epoch 2, batch 8
11:21:19 --- PID 2; epoch 2, batch 8
11:21:19 --- PID 1; epoch 2, batch 8
11:21:36 --- PID 0; epoch 2, batch 9
11:21:36 --- PID 3; epoch 2, batch 9
11:21:36 --- PID 2; epoch 2, batch 9
11:21:36 --- PID 1; epoch 2, batch 9
11:21:54 --- PID 3; epoch 3, batch 0
11:21:54 --- PID 1; epoch 3, batch 0
11:21:54 --- PID 2; epoch 3, batch 0
11:21:56 --- Epoch: 2	Train loss: 6.9086	Valid loss: 6.9088	Train accuracy: 0.02	Valid accuracy: 0.04
11:21:56 --- PID 0; epoch 3, batch 0
11:22:13 --- PID 0; epoch 3, batch 1
11:22:13 --- PID 3; epoch 3, batch 1
11:22:13 --- PID 2; epoch 3, batch 1
11:22:13 --- PID 1; epoch 3, batch 1
11:22:30 --- PID 0; epoch 3, batch 2
11:22:30 --- PID 3; epoch 3, batch 2
11:22:30 --- PID 2; epoch 3, batch 2
11:22:30 --- PID 1; epoch 3, batch 2
11:22:47 --- PID 0; epoch 3, batch 3
11:22:47 --- PID 3; epoch 3, batch 3
11:22:47 --- PID 2; epoch 3, batch 3
11:22:47 --- PID 1; epoch 3, batch 3
11:23:04 --- PID 0; epoch 3, batch 4
11:23:04 --- PID 3; epoch 3, batch 4
11:23:04 --- PID 2; epoch 3, batch 4
11:23:04 --- PID 1; epoch 3, batch 4
11:23:21 --- PID 0; epoch 3, batch 5
11:23:21 --- PID 3; epoch 3, batch 5
11:23:21 --- PID 2; epoch 3, batch 5
11:23:21 --- PID 1; epoch 3, batch 5
11:23:38 --- PID 0; epoch 3, batch 6
11:23:38 --- PID 3; epoch 3, batch 6
11:23:38 --- PID 2; epoch 3, batch 6
11:23:38 --- PID 1; epoch 3, batch 6
11:23:55 --- PID 0; epoch 3, batch 7
11:23:55 --- PID 3; epoch 3, batch 7
11:23:55 --- PID 2; epoch 3, batch 7
11:23:55 --- PID 1; epoch 3, batch 7
11:24:12 --- PID 0; epoch 3, batch 8
11:24:12 --- PID 3; epoch 3, batch 8
11:24:12 --- PID 2; epoch 3, batch 8
11:24:12 --- PID 1; epoch 3, batch 8
11:24:28 --- PID 0; epoch 3, batch 9
11:24:28 --- PID 3; epoch 3, batch 9
11:24:28 --- PID 2; epoch 3, batch 9
11:24:28 --- PID 1; epoch 3, batch 9
11:24:46 --- PID 3; epoch 4, batch 0
11:24:46 --- PID 1; epoch 4, batch 0
11:24:46 --- PID 2; epoch 4, batch 0
11:24:48 --- Epoch: 3	Train loss: 6.9086	Valid loss: 6.9088	Train accuracy: 0.02	Valid accuracy: 0.04
11:24:48 --- PID 0; epoch 4, batch 0
11:25:05 --- PID 0; epoch 4, batch 1
11:25:05 --- PID 3; epoch 4, batch 1
11:25:05 --- PID 2; epoch 4, batch 1
11:25:05 --- PID 1; epoch 4, batch 1
11:25:22 --- PID 0; epoch 4, batch 2
11:25:22 --- PID 3; epoch 4, batch 2
11:25:22 --- PID 2; epoch 4, batch 2
11:25:22 --- PID 1; epoch 4, batch 2
11:25:39 --- PID 0; epoch 4, batch 3
11:25:39 --- PID 3; epoch 4, batch 3
11:25:39 --- PID 2; epoch 4, batch 3
11:25:39 --- PID 1; epoch 4, batch 3
11:25:56 --- PID 0; epoch 4, batch 4
11:25:56 --- PID 3; epoch 4, batch 4
11:25:56 --- PID 2; epoch 4, batch 4
11:25:56 --- PID 1; epoch 4, batch 4
11:26:13 --- PID 0; epoch 4, batch 5
11:26:13 --- PID 3; epoch 4, batch 5
11:26:13 --- PID 2; epoch 4, batch 5
11:26:13 --- PID 1; epoch 4, batch 5
11:26:29 --- PID 0; epoch 4, batch 6
11:26:29 --- PID 3; epoch 4, batch 6
11:26:29 --- PID 2; epoch 4, batch 6
11:26:29 --- PID 1; epoch 4, batch 6
11:26:46 --- PID 0; epoch 4, batch 7
11:26:46 --- PID 3; epoch 4, batch 7
11:26:46 --- PID 2; epoch 4, batch 7
11:26:46 --- PID 1; epoch 4, batch 7
11:27:03 --- PID 0; epoch 4, batch 8
11:27:03 --- PID 3; epoch 4, batch 8
11:27:03 --- PID 2; epoch 4, batch 8
11:27:03 --- PID 1; epoch 4, batch 8
11:27:20 --- PID 0; epoch 4, batch 9
11:27:20 --- PID 3; epoch 4, batch 9
11:27:20 --- PID 2; epoch 4, batch 9
11:27:20 --- PID 1; epoch 4, batch 9
11:27:38 --- PID 1; epoch 5, batch 0
11:27:38 --- PID 3; epoch 5, batch 0
11:27:38 --- PID 2; epoch 5, batch 0
11:27:39 --- Epoch: 4	Train loss: 6.9086	Valid loss: 6.9088	Train accuracy: 0.02	Valid accuracy: 0.04
11:27:39 --- PID 0; epoch 5, batch 0
11:27:56 --- PID 0; epoch 5, batch 1
11:27:56 --- PID 3; epoch 5, batch 1
11:27:56 --- PID 2; epoch 5, batch 1
11:27:56 --- PID 1; epoch 5, batch 1
./run_distributed.sh [13Pgit pullreset --hard[8Ppull./run_distributed.sh [K11:28:13 --- PID 0; epoch 5, batch 2
11:28:13 --- PID 3; epoch 5, batch 2
11:28:13 --- PID 2; epoch 5, batch 2
11:28:13 --- PID 1; epoch 5, batch 2
11:28:30 --- PID 0; epoch 5, batch 3
11:28:30 --- PID 3; epoch 5, batch 3
11:28:30 --- PID 2; epoch 5, batch 3
11:28:30 --- PID 1; epoch 5, batch 3
11:28:47 --- PID 0; epoch 5, batch 4
11:28:47 --- PID 3; epoch 5, batch 4
11:28:47 --- PID 2; epoch 5, batch 4
11:28:47 --- PID 1; epoch 5, batch 4
run[K[K[K./run_distributed.sh 
(base) austin:~/CS535/TP$ master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[K(base) austin:~/CS535/TP$ master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
Started process 3
Started process 0
Started process 1
Started process 2
12:02:12 --- PID 2; epoch 0, batch 0
12:02:12 --- PID 0; epoch 0, batch 0
12:02:12 --- PID 3; epoch 0, batch 0
12:02:12 --- PID 1; epoch 0, batch 0
12:02:34 --- PID 0; epoch 0, batch 1
12:02:34 --- PID 3; epoch 0, batch 1
12:02:34 --- PID 2; epoch 0, batch 1
12:02:34 --- PID 1; epoch 0, batch 1
12:02:54 --- PID 2; epoch 0, batch 2
12:02:54 --- PID 0; epoch 0, batch 2
12:02:54 --- PID 3; epoch 0, batch 2
12:02:54 --- PID 1; epoch 0, batch 2
12:03:15 --- PID 0; epoch 0, batch 3
12:03:15 --- PID 2; epoch 0, batch 3
12:03:15 --- PID 3; epoch 0, batch 3
12:03:15 --- PID 1; epoch 0, batch 3
12:03:35 --- PID 0; epoch 0, batch 4
