16:28:28 --- PID 0; epoch 0, batch 0
16:37:20 --- PID 0; epoch 0, batch 1
16:46:16 --- PID 0; epoch 0, batch 2
16:55:09 --- PID 0; epoch 0, batch 3
17:04:03 --- PID 0; epoch 0, batch 4
17:12:57 --- PID 0; epoch 0, batch 5
17:21:51 --- PID 0; epoch 0, batch 6
17:30:51 --- PID 0; epoch 0, batch 7
17:39:46 --- PID 0; epoch 0, batch 8
17:48:39 --- PID 0; epoch 0, batch 9
17:57:34 --- PID 0; epoch 1, batch 0
18:06:27 --- PID 0; epoch 1, batch 1
18:15:18 --- PID 0; epoch 1, batch 2
18:24:13 --- PID 0; epoch 1, batch 3
18:33:07 --- PID 0; epoch 1, batch 4
18:42:01 --- PID 0; epoch 1, batch 5
18:50:59 --- PID 0; epoch 1, batch 6
18:59:57 --- PID 0; epoch 1, batch 7
19:08:49 --- PID 0; epoch 1, batch 8
19:17:43 --- PID 0; epoch 1, batch 9
19:26:41 --- PID 0; epoch 2, batch 0
19:35:32 --- PID 0; epoch 2, batch 1
19:44:28 --- PID 0; epoch 2, batch 2
19:53:22 --- PID 0; epoch 2, batch 3
20:02:17 --- PID 0; epoch 2, batch 4
20:11:14 --- PID 0; epoch 2, batch 5
20:20:07 --- PID 0; epoch 2, batch 6
20:29:05 --- PID 0; epoch 2, batch 7
20:37:58 --- PID 0; epoch 2, batch 8
20:46:48 --- PID 0; epoch 2, batch 9
20:55:48 --- PID 0; epoch 3, batch 0
21:04:43 --- PID 0; epoch 3, batch 1
21:13:39 --- PID 0; epoch 3, batch 2
21:22:29 --- PID 0; epoch 3, batch 3
21:31:26 --- PID 0; epoch 3, batch 4
21:40:13 --- PID 0; epoch 3, batch 5
21:49:06 --- PID 0; epoch 3, batch 6
21:58:07 --- PID 0; epoch 3, batch 7
22:07:03 --- PID 0; epoch 3, batch 8
22:16:02 --- PID 0; epoch 3, batch 9
22:24:58 --- PID 0; epoch 4, batch 0
22:33:50 --- PID 0; epoch 4, batch 1
22:42:42 --- PID 0; epoch 4, batch 2
22:51:37 --- PID 0; epoch 4, batch 3
23:00:30 --- PID 0; epoch 4, batch 4
23:09:22 --- PID 0; epoch 4, batch 5
23:18:17 --- PID 0; epoch 4, batch 6
23:27:14 --- PID 0; epoch 4, batch 7
23:36:06 --- PID 0; epoch 4, batch 8
23:44:55 --- PID 0; epoch 4, batch 9
23:53:51 --- PID 0; epoch 5, batch 0
00:02:40 --- PID 0; epoch 5, batch 1
00:11:24 --- PID 0; epoch 5, batch 2
00:20:04 --- PID 0; epoch 5, batch 3
00:28:53 --- PID 0; epoch 5, batch 4
00:37:38 --- PID 0; epoch 5, batch 5
00:46:29 --- PID 0; epoch 5, batch 6
00:55:22 --- PID 0; epoch 5, batch 7
01:04:17 --- PID 0; epoch 5, batch 8
01:13:07 --- PID 0; epoch 5, batch 9
01:22:04 --- PID 0; epoch 6, batch 0
01:30:56 --- PID 0; epoch 6, batch 1
01:39:50 --- PID 0; epoch 6, batch 2
01:48:37 --- PID 0; epoch 6, batch 3
