12:33:09 --- PID 0; epoch 0, batch 0
12:34:42 --- PID 0; epoch 0, batch 1
12:36:15 --- PID 0; epoch 0, batch 2
12:37:49 --- PID 0; epoch 0, batch 3
12:39:20 --- PID 0; epoch 0, batch 4
12:40:55 --- PID 0; epoch 0, batch 5
12:42:27 --- PID 0; epoch 0, batch 6
12:44:01 --- PID 0; epoch 0, batch 7
12:45:33 --- PID 0; epoch 0, batch 8
12:47:06 --- PID 0; epoch 0, batch 9
12:48:41 --- PID 0; epoch 1, batch 0
12:50:13 --- PID 0; epoch 1, batch 1
12:51:47 --- PID 0; epoch 1, batch 2
12:53:21 --- PID 0; epoch 1, batch 3
12:54:54 --- PID 0; epoch 1, batch 4
12:56:26 --- PID 0; epoch 1, batch 5
12:57:58 --- PID 0; epoch 1, batch 6
12:59:31 --- PID 0; epoch 1, batch 7
13:01:04 --- PID 0; epoch 1, batch 8
13:02:35 --- PID 0; epoch 1, batch 9
13:04:11 --- PID 0; epoch 2, batch 0
13:05:43 --- PID 0; epoch 2, batch 1
13:07:16 --- PID 0; epoch 2, batch 2
13:08:48 --- PID 0; epoch 2, batch 3
13:10:24 --- PID 0; epoch 2, batch 4
13:11:56 --- PID 0; epoch 2, batch 5
13:13:28 --- PID 0; epoch 2, batch 6
13:15:03 --- PID 0; epoch 2, batch 7
13:16:36 --- PID 0; epoch 2, batch 8
13:18:09 --- PID 0; epoch 2, batch 9
13:19:45 --- PID 0; epoch 3, batch 0
13:21:18 --- PID 0; epoch 3, batch 1
13:22:52 --- PID 0; epoch 3, batch 2
13:24:27 --- PID 0; epoch 3, batch 3
13:25:58 --- PID 0; epoch 3, batch 4
13:27:30 --- PID 0; epoch 3, batch 5
13:29:02 --- PID 0; epoch 3, batch 6
13:30:37 --- PID 0; epoch 3, batch 7
13:32:11 --- PID 0; epoch 3, batch 8
13:33:43 --- PID 0; epoch 3, batch 9
13:35:19 --- PID 0; epoch 4, batch 0
13:36:51 --- PID 0; epoch 4, batch 1
13:38:24 --- PID 0; epoch 4, batch 2
13:40:00 --- PID 0; epoch 4, batch 3
13:41:33 --- PID 0; epoch 4, batch 4
13:43:04 --- PID 0; epoch 4, batch 5
13:44:36 --- PID 0; epoch 4, batch 6
13:46:09 --- PID 0; epoch 4, batch 7
13:47:45 --- PID 0; epoch 4, batch 8
13:49:17 --- PID 0; epoch 4, batch 9
13:50:52 --- PID 0; epoch 5, batch 0
13:52:23 --- PID 0; epoch 5, batch 1
13:53:57 --- PID 0; epoch 5, batch 2
13:55:30 --- PID 0; epoch 5, batch 3
13:57:02 --- PID 0; epoch 5, batch 4
13:58:34 --- PID 0; epoch 5, batch 5
14:00:06 --- PID 0; epoch 5, batch 6
14:01:39 --- PID 0; epoch 5, batch 7
14:03:10 --- PID 0; epoch 5, batch 8
14:04:41 --- PID 0; epoch 5, batch 9
14:06:16 --- PID 0; epoch 6, batch 0
14:07:48 --- PID 0; epoch 6, batch 1
14:09:21 --- PID 0; epoch 6, batch 2
14:10:56 --- PID 0; epoch 6, batch 3
14:12:28 --- PID 0; epoch 6, batch 4
14:14:00 --- PID 0; epoch 6, batch 5
14:15:32 --- PID 0; epoch 6, batch 6
14:17:05 --- PID 0; epoch 6, batch 7
14:18:38 --- PID 0; epoch 6, batch 8
14:20:10 --- PID 0; epoch 6, batch 9
14:21:45 --- PID 0; epoch 7, batch 0
14:23:16 --- PID 0; epoch 7, batch 1
14:24:49 --- PID 0; epoch 7, batch 2
14:26:21 --- PID 0; epoch 7, batch 3
14:27:53 --- PID 0; epoch 7, batch 4
14:29:25 --- PID 0; epoch 7, batch 5
14:30:57 --- PID 0; epoch 7, batch 6
14:32:29 --- PID 0; epoch 7, batch 7
14:34:02 --- PID 0; epoch 7, batch 8
14:35:33 --- PID 0; epoch 7, batch 9
14:37:09 --- PID 0; epoch 8, batch 0
14:38:40 --- PID 0; epoch 8, batch 1
14:40:16 --- PID 0; epoch 8, batch 2
14:41:47 --- PID 0; epoch 8, batch 3
14:43:19 --- PID 0; epoch 8, batch 4
14:44:51 --- PID 0; epoch 8, batch 5
14:46:23 --- PID 0; epoch 8, batch 6
14:47:56 --- PID 0; epoch 8, batch 7
14:49:29 --- PID 0; epoch 8, batch 8
14:51:01 --- PID 0; epoch 8, batch 9
14:52:36 --- PID 0; epoch 9, batch 0
14:54:07 --- PID 0; epoch 9, batch 1
14:55:39 --- PID 0; epoch 9, batch 2
14:57:11 --- PID 0; epoch 9, batch 3
14:58:43 --- PID 0; epoch 9, batch 4
15:00:15 --- PID 0; epoch 9, batch 5
15:01:47 --- PID 0; epoch 9, batch 6
15:03:19 --- PID 0; epoch 9, batch 7
15:04:51 --- PID 0; epoch 9, batch 8
15:06:22 --- PID 0; epoch 9, batch 9
15:07:58 --- PID 0; epoch 10, batch 0
15:09:29 --- PID 0; epoch 10, batch 1
15:11:03 --- PID 0; epoch 10, batch 2
15:12:34 --- PID 0; epoch 10, batch 3
15:14:06 --- PID 0; epoch 10, batch 4
15:15:38 --- PID 0; epoch 10, batch 5
15:17:10 --- PID 0; epoch 10, batch 6
15:18:43 --- PID 0; epoch 10, batch 7
15:20:15 --- PID 0; epoch 10, batch 8
15:21:47 --- PID 0; epoch 10, batch 9
15:23:22 --- PID 0; epoch 11, batch 0
15:24:53 --- PID 0; epoch 11, batch 1
15:26:26 --- PID 0; epoch 11, batch 2
15:27:59 --- PID 0; epoch 11, batch 3
15:29:31 --- PID 0; epoch 11, batch 4
15:31:03 --- PID 0; epoch 11, batch 5
15:32:35 --- PID 0; epoch 11, batch 6
