20:28:28 --- PID 0; epoch 0, batch 0
20:30:54 --- PID 0; epoch 0, batch 1
20:33:05 --- PID 0; epoch 0, batch 2
20:35:16 --- PID 0; epoch 0, batch 3
20:37:28 --- PID 0; epoch 0, batch 4
20:39:39 --- PID 0; epoch 0, batch 5
20:41:50 --- PID 0; epoch 0, batch 6
20:44:01 --- PID 0; epoch 0, batch 7
20:46:12 --- PID 0; epoch 0, batch 8
20:48:23 --- PID 0; epoch 0, batch 9
20:50:37 --- PID 0; epoch 1, batch 0
20:52:15 --- PID 0; epoch 1, batch 1
20:53:53 --- PID 0; epoch 1, batch 2
20:55:31 --- PID 0; epoch 1, batch 3
20:57:09 --- PID 0; epoch 1, batch 4
20:58:47 --- PID 0; epoch 1, batch 5
21:00:25 --- PID 0; epoch 1, batch 6
21:02:03 --- PID 0; epoch 1, batch 7
21:03:40 --- PID 0; epoch 1, batch 8
21:05:18 --- PID 0; epoch 1, batch 9
21:06:59 --- PID 0; epoch 2, batch 0
21:08:36 --- PID 0; epoch 2, batch 1
21:10:15 --- PID 0; epoch 2, batch 2
21:11:53 --- PID 0; epoch 2, batch 3
21:13:31 --- PID 0; epoch 2, batch 4
21:15:09 --- PID 0; epoch 2, batch 5
21:16:46 --- PID 0; epoch 2, batch 6
21:18:25 --- PID 0; epoch 2, batch 7
21:20:03 --- PID 0; epoch 2, batch 8
21:21:40 --- PID 0; epoch 2, batch 9
21:23:22 --- PID 0; epoch 3, batch 0
21:24:59 --- PID 0; epoch 3, batch 1
21:26:37 --- PID 0; epoch 3, batch 2
21:28:15 --- PID 0; epoch 3, batch 3
21:29:53 --- PID 0; epoch 3, batch 4
21:31:31 --- PID 0; epoch 3, batch 5
21:33:08 --- PID 0; epoch 3, batch 6
21:34:47 --- PID 0; epoch 3, batch 7
21:36:24 --- PID 0; epoch 3, batch 8
21:38:02 --- PID 0; epoch 3, batch 9
21:39:41 --- PID 0; epoch 4, batch 0
21:41:19 --- PID 0; epoch 4, batch 1
21:42:57 --- PID 0; epoch 4, batch 2
21:44:35 --- PID 0; epoch 4, batch 3
21:46:13 --- PID 0; epoch 4, batch 4
21:47:50 --- PID 0; epoch 4, batch 5
21:49:28 --- PID 0; epoch 4, batch 6
21:51:06 --- PID 0; epoch 4, batch 7
21:52:44 --- PID 0; epoch 4, batch 8
21:54:22 --- PID 0; epoch 4, batch 9
21:56:02 --- PID 0; epoch 5, batch 0
21:57:40 --- PID 0; epoch 5, batch 1
21:59:18 --- PID 0; epoch 5, batch 2
22:00:56 --- PID 0; epoch 5, batch 3
22:02:34 --- PID 0; epoch 5, batch 4
22:04:12 --- PID 0; epoch 5, batch 5
22:05:49 --- PID 0; epoch 5, batch 6
22:07:27 --- PID 0; epoch 5, batch 7
22:09:05 --- PID 0; epoch 5, batch 8
22:10:43 --- PID 0; epoch 5, batch 9
22:12:23 --- PID 0; epoch 6, batch 0
22:14:01 --- PID 0; epoch 6, batch 1
22:15:39 --- PID 0; epoch 6, batch 2
22:17:17 --- PID 0; epoch 6, batch 3
22:18:55 --- PID 0; epoch 6, batch 4
22:20:33 --- PID 0; epoch 6, batch 5
22:22:10 --- PID 0; epoch 6, batch 6
22:23:49 --- PID 0; epoch 6, batch 7
22:25:26 --- PID 0; epoch 6, batch 8
22:27:04 --- PID 0; epoch 6, batch 9
22:28:44 --- PID 0; epoch 7, batch 0
22:30:22 --- PID 0; epoch 7, batch 1
22:32:00 --- PID 0; epoch 7, batch 2
22:33:38 --- PID 0; epoch 7, batch 3
22:35:16 --- PID 0; epoch 7, batch 4
22:36:54 --- PID 0; epoch 7, batch 5
22:38:32 --- PID 0; epoch 7, batch 6
22:40:10 --- PID 0; epoch 7, batch 7
22:41:48 --- PID 0; epoch 7, batch 8
22:43:25 --- PID 0; epoch 7, batch 9
22:45:06 --- PID 0; epoch 8, batch 0
22:46:43 --- PID 0; epoch 8, batch 1
22:48:21 --- PID 0; epoch 8, batch 2
22:49:59 --- PID 0; epoch 8, batch 3
22:51:37 --- PID 0; epoch 8, batch 4
22:53:15 --- PID 0; epoch 8, batch 5
22:54:52 --- PID 0; epoch 8, batch 6
22:56:31 --- PID 0; epoch 8, batch 7
22:58:08 --- PID 0; epoch 8, batch 8
22:59:45 --- PID 0; epoch 8, batch 9
23:01:26 --- PID 0; epoch 9, batch 0
23:03:03 --- PID 0; epoch 9, batch 1
23:04:42 --- PID 0; epoch 9, batch 2
23:06:19 --- PID 0; epoch 9, batch 3
23:07:57 --- PID 0; epoch 9, batch 4
23:09:35 --- PID 0; epoch 9, batch 5
23:11:12 --- PID 0; epoch 9, batch 6
23:12:51 --- PID 0; epoch 9, batch 7
23:14:28 --- PID 0; epoch 9, batch 8
23:16:05 --- PID 0; epoch 9, batch 9
23:17:46 --- PID 0; epoch 10, batch 0
23:19:24 --- PID 0; epoch 10, batch 1
23:21:02 --- PID 0; epoch 10, batch 2
23:22:39 --- PID 0; epoch 10, batch 3
